Part Number,Vendor ,Motor Type,Function,Rated Voltage,Rated RPM,Cost
C0720B001F,DigiKey,DC,Vibration,3,10000,5.69
PNN7RB55PW,DigiKey,DC,Vibration,3,7500,7.63
C1030B028F,DigiKey,DC,Vibration,3,9000,4.63
Z6DCBB0056091,DigiKey,DC,Vibration,3,11000,4.63
900-00005,DigiKey,DC,Servo,6,200,21.05
PD42-3-1670-TMCL,DigiKey,DC,Servo,24,4000,593.76
80280001,DigiKey,DC,Servo,48,3000,1205.97
80289714,DigiKey,DC,Servo,32,33,1326.92
PPN7PA12C1,DigiKey,DC,Standard,5,11605,5.13
35GLT2R82-326P.1,DigiKey,DC,Standard,24,10000,539.45
PAN14EE12AA1,DigiKey,DC,Standard,12,12850,7.42
22N78-311P.1001,DigiKey,DC,Standard,12,10000,132.57
Q6DL2AQ140001,DigiKey,DC,Standard,1.3,10832,5.40
MSMF021L1U2,DigiKey,AC,Servo,100,3000,852.45
MUMA5AZPIS,DigiKey,AC,Servo,200,3000,433.00
MSMD022GIT,DigiKey,AC,Servo,200,3000,1051.93
M71X15S4LGA,DigiKey,AC,Standard,100,1600,184.58
M9MZ90HK4Y,DigiKey,AC,Standard,220,1650,1323.85
M61X6GV4LGA-ND,DigiKey,AC,Standard,100,1200,218.32
